Product ID,Picture URL,Description,Health Facts,Highlights
U121,https://media.ulta.com/i/ulta/2568898?w=78&h=78&fmt=auto,NatureLab. Tokyo's Perfect Repair Shampoo has an infusion of Smart Keratin that brings extra reinforcement and protection to the deepest layers of the cortex.,"Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back"," Inspired by Japanese bamboo forests with a hint of green tea and cypress, Cruelty-free"
U122,https://media.ulta.com/i/ulta/2589176?w=78&h=78&fmt=auto,L'Oréal EverPure Glossing Shampoo is a pH balanced shampoo with argan oil that leaves hair intensely shiny.,Give Back,"Intensifies shine for silky, smooth hair, For a glossy finish that lasts, Anti-fade and UV filter, gentle on color treated hair, Sulfate Free "
U123,https://media.ulta.com/i/ulta/2577879?w=78&h=78&fmt=auto,Turn frizz-prone hair into silky strands on their best behavior with Virtue's Smooth Shampoo.,"Vegan, Cruelty Free","De-frizzes, hydrates and soothes hair, Silkier hair Hair Concerns: Frizz, flyaways, dryness, For Hair Types:, STRAIGHT - Fine/Medium/Thick, WAVY - Fine/Medium/Thick, CURLY - Fine/Medium/Thick, COILS - Fine/Medium/Thick, COARSE"
U125,https://media.ulta.com/i/ulta/2593838?w=78&h=78&fmt=auto,"Virtue's ColorKick De-Brassing Shampoo is a gentle, sulfate-free shampoo made from all-natural colorants to tone, neutralize, and brighten all shades of natural and color-treated hair.","Vegan, Cruelty Free","Brightens, Neutralizes, Revitalizes CONSUMER PERCEPTION (on 57 panelists using product for 2 weeks):, 95% of women immediately felt their hair color looked more vibrant, 95% of women felt their hair looked shinier and less brassy after 2 weeks, 93% of women felt their hair color looked brighter and more revived after 1 week, PRODUCT AESTHETICS: A naturally tinted violet shampoo with a rich and luxurious yet non-stripping, non-drying lather., IDEAL FOR: (1) All shades of natural color (2) All shades of color-treated or highlighted hair (3) Silver and grey tones, FRAGRANCE: A warm blend of bright and calming ingredients including yuzu zest, chamomile, and creamy sandalwood."
U126,https://media.ulta.com/i/ulta/2608598?w=78&h=78&fmt=auto,"dpHUE Revitalizing Shampoo helps to keep scalp balanced, reduce shedding and supports healthy hair growth for stronger, fuller, healthier hair.","Vegan, Cruelty Free","Helps to balance the scalp, Helps to reduce hair shedding, Helps to activate hair follicles, Helps support healthy hair growth, Cruelty Free, Vegan "
U127,https://media.ulta.com/i/ulta/2606254?w=78&h=78&fmt=auto,Briogeo Color Me Brilliant Mushroom + Bamboo Color Protect Shampoo is a naturally derived shampoo that cleanses and protects dyed hair against color fade and extends the needed time between color treatments.,"Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Helps to preserve hair color and reduces chemical damage by prolonging the time needed between color treatments, Gently cleanses without the use of harsh, color stripping sulfates (SLS/SLES), Clean and naturally derived, formulated 6-free, and made with Briogeo's proprietary NOVA Complex that fortifies, nourishes, and protects "
U129,https://media.ulta.com/i/ulta/2572928?w=78&h=78&fmt=auto,Carol's Daughter Goddess Strength Fortifying Shampoo cleanses while moisturizing and provides hair that's stronger and less prone to breakage.,"Cruelty Free, Give Back","Helps target weak strands, restoring intense moisture and fortifying hair so each strand is stronger, Paraben Free Conditioner for weak hair with Castor Oil and Black Seed Oil, Makes hair easier to detangle so there's less breakage and hair can keep its length, Goddess Strength was developed and tested for curls including 4C Goddess Strength System delivers 15X stronger hair in one use, 94% less breakage* and supports the strength of your hair as it gets longer, *System vs. non-conditioning shampoo"
U130,https://media.ulta.com/i/ulta/2594709?w=78&h=78&fmt=auto,"Turn up the volume, naturally with Klorane's Volumizing Dry Shampoo with Flax. This style-extender maximizes the texture, fullness and hold of fine hair while lifting hair at the roots for immediate and long-lasting 8H volume*.","Vegan, Clean Ingredients, Sustainable Packaging Brand, Give Back","Lifts hair at the roots for immediate and long-lasting weightless volume., Plant-based formula transforms hair from lifeless to bouncy, voluminous and clean., Maximizes the texture, fullness and hold of fine hair, provides extra added volume to all hair types., Quickly absorbs excess oil on the scalp for revived and refreshed hair., Does not weigh hair down or leave hair stiff., Invisible finish, no white residue., Dermatologist tested., Recyclable packaging. "
U132,https://media.ulta.com/i/ulta/2607947?w=78&h=78&fmt=auto,"Sulfate-free + residue-free, Color Wow's Curl Wow Curl Hooked 100% Clean Shampoo with Root-Locking Technology delivers your cleanest hair + helps reduce shedding.",,"100% clean formula leaves no residues behind to dull color, weigh down curls or block follicles, Leaves curls film-free and optimally receptive to leave-in hydrators and moisturizing stylers, Fortifies strands in the follicle to help reduce shedding and breakage "
U134,https://media.ulta.com/i/ulta/2564021?w=78&h=78&fmt=auto,NatureLab. Tokyo's Perfect Repair Shampoo has an infusion of Smart Keratin that brings extra reinforcement and protection to the deepest layers of the cortex.,"Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back", Inspired by Japanese bamboo forests with a hint of green tea and cypress
U135,https://media.ulta.com/i/ulta/2607870?w=78&h=78&fmt=auto,"Ouidad's Unbreakable Bonds Bond Building Shampoo is a gentle, dermatologist tested shampoo that works to improve the look of hair health and repair damage. It's fragrance-free and hypoallergenic to cleanse even the most sensitive of scalps.","Cruelty Free, Sustainable Packaging Brand","Sulfate-free shampoo infused with bond building technology that gently cleanses, strengthens, and hydrates curls, Fragrance-free formula is great for sensitive scalps, Low pH helps keep curls hydrated and prevents natural oils from being stripped, Dermatologist tested and hypoallergenic, Infused with hyaluronic acid, ceramides, and collagen "
U136,https://media.ulta.com/i/ulta/2577993?w=78&h=78&fmt=auto,"Virtue's Healthy Hair Refresh Dry Shampoo is a lightweight, invisible dry shampoo that removes build-up, oil, and odor while reviving your style with each use.","Vegan, Cruelty Free","Invigorated hair with refreshed scent, Revived style and less oily, No Residue Hair Concerns: Oiliness, sweat and odor, For Hair Types:, STRAIGHT-Fine/Medium/Thick, WAVY - Fine/Medium/Thick, CURLY - Fine/Medium/Thick, COILS - Fine/Medium/Thick, COARSE"
U137,https://media.ulta.com/i/ulta/2515559?w=78&h=78&fmt=auto,"Bumble and bumble Creme De Coco Coconut Shampoo is a shampoo for rich moisture that helps restore sheen + softness, improve flexibility, and reduce frizz. Plus, its fragrant lather makes cleansing a can't-resist indulgence.","Cruelty Free, Sustainable Packaging Brand","Hydrates, Adds shine, Reduces frizz "
U139,https://media.ulta.com/i/ulta/2612267?w=78&h=78&fmt=auto,Mielle's Pomegranate & Honey Moisturizing and Detangling Shampoo uses fresh ingredients like honey and babassu oil to lift dirt and oil from your hair while preserving much needed moisture. This shampoo works into a luxurious lather and has an amazing scent.,"Cruelty Free, Give Back","Provides silky slip, Pre-detangles thick, curly hair, Cleans without stripping away moisture "
U140,https://media.ulta.com/i/ulta/2611249?w=78&h=78&fmt=auto,Escape with Our Sensorial Hair Care Ritual - L'Oréal EverPure Sulfate Free Simply Clean Shampoo with luxurious lather and intense conditioning that envelops hair in nourishment.,"Vegan, Give Back","Escape with Our Sensorial Hair Care Ritual - EverPure Simply Clean with luxurious lather and intense conditioning that envelops hair in nourishment., Our Purest Respect for Your Hair - Formulated without synthetic fragrance, sulfates, parabens, DMDM hydantoin, added phthalates, dye, and gluten ingredients. Always vegan, color caring, and powered by science., With Natural Rosemary Essential Oil - Formulas powered by essential oil replenish moisture and restore smoothness., Get Salon Hair at Home - EverPure Simply Clean renews softness and restores shine. Luxuriously formulated for all hair types., How to Indulge Hair - Apply Simply Clean Shampoo and lather to gently cleanse. Follow with Simply Clean Conditioner. 1-2 times per week, replace conditioner with our Elastic Fiber Masque for more intense nourishment. "
U141,https://media.ulta.com/i/ulta/2270737?w=78&h=78&fmt=auto,Forget the ordinary! Paul Mitchell's #1 best-selling Tea Tree Special Shampoo tingles and invigorates for a refreshed scalp and shiny hair.,"Cruelty Free, Sustainable Packaging Brand, Give Back","NOTE: Paul Mitchell's packaging is getting a makeover and the product you receive may vary from the images that are shown, Special ingredients + tea tree help wash away impurities, Refreshing tingle invigorates scalp, Ideal for all hair types, especially oily hair Reviving scent of tea tree provides an invigorating aromatherapy-inspired experience like no other, Clear post-consumer recycled (PCR) packaging (bottles + jars made from 100% PCR; tubes made from 25%; excludes pumps, caps + closures) features a label that does not need to be removed prior to recycling as part of Paul Mitchell’s long-standing commitment to the environment, Shampoo bottle has a raised S differentiator to increase accessibility, Color safe, Paraben free"
U142,https://media.ulta.com/i/ulta/2516160?w=78&h=78&fmt=auto,"Bumble and bumble Surf Foam Wash Shampoo is a daily sea salt shampoo, infused with minerals and sea botanicals, that builds buoyant body and sea-breezy texture.","Cruelty Free, Sustainable Packaging Brand","Texture, Softens, Volume "
U143,https://media.ulta.com/i/ulta/2560507?w=78&h=78&fmt=auto,"Derma E's invigorating Therapeutic Mint Thickening Shampoo is formulated with a unique blend of naturally-derived proteins, vitamins, and oils to create an effective thickening formula that making hair appear thicker and fuller.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Increases body, volume, and healthy hair growth for fuller and thicker looking hair, Safe for color-treated hair 100% Vegan and Cruelty-free, Recyclable & wind energy certified, Formulated without GMOs, gluten, or soy"
U144,https://media.ulta.com/i/ulta/2621149?w=78&h=78&fmt=auto,Kitsch Ultra Sensitive Solid Shampoo & Body Wash Bar is a 2-in-1 shampoo and body bar is formulated without fragrance or colors for those with sensitive skin.,," A gentle, nourishing experience that supports healthy-looking hair, scalp and skin., Ideal for those with skin and fragrance sensitivities., Free of parabens, phthalates, silicones, sulfates, & artificial fragrance."
U146,https://media.ulta.com/i/ulta/2577944?w=78&h=78&fmt=auto,"Eva NYC's Tone It Down Blonde Shampoo neutralizes brassy tones for cool-toned blonde hair that's bright, shiny, and soft. Time to kick some serious brass!","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Ultra-violet pigments neutralize yellow to brassy tones, for salon-fresh blonde every time, Nutrient-rich & sulfate-free to provide gentle cleansing, Certified cruelty-free through Leaping Bunny, certified vegan & certified GMO-free, Free of Sulfates, Parabens, Phthalates, SLES, MIT/MCIT, Mineral Oil, Nanoparticles, Triclosan, Triclocarban, BHT, BHA, Oxybenzone & Benzophenone, Made with sustainable packaging: Aluminum can made with 25% PCR (post-consumer recycled) aluminum and is curbside recyclable. Plastic pump made with 25% PCR (post-consumer recycled) material and is recyclable via TerraCycle. "
U148,https://media.ulta.com/i/ulta/2599378?w=78&h=78&fmt=auto,"Ouidad Tone It Away Purple Shampoo is a gentle, sulfate-free shampoo that works to neutralize brassy tones between salon visits. Formulated with rice water, cica, and orchid extract, it helps to strengthen strands and repair damage caused by hair color.","Cruelty Free, Sustainable Packaging Brand","Enhances highlights, tones brassiness, and moisturizes while gently cleansing, Replenishes moisture without weighing down curls, Helps to strengthen strands and repair damage caused by hair color, Formulated for all curl types "
U150,https://media.ulta.com/i/ulta/2552731?w=78&h=78&fmt=auto,"Boosted with 10 nourishing oils, PATTERN's creamy, gentle Hydration Shampoo cleanses curls and scalp and removes buildup and dirt without stripping away moisture. Bathe hair in a moisture-rich formula with ingredients like Honey, Aloe Vera and Coconut Oil.",,"Cleanses your hair and scalp, Removes buildup and dirt without stripping away moisture, Hair is left healthy and hydrated, Perfect for dry hair, Infused with Biotin, Contains a blend of 10 oils including Coconut Oil, Olive Oil, Avocado Oil and Sweet Almond Oil, Aloe and honey are natural humectants that attract hydration. Coconut Oil is known to seal in hydration., Great for all hair types, Clean and subtle scent, Great for 3B-4C curls, Founder Tracee Ellis Ross picked this fragrance to be clean and not overpowering. Notes are Jasmine, Bergamot and Sweet Sandalwood. "
U151,https://media.ulta.com/i/ulta/2620122?w=78&h=78&fmt=auto,"Garnier Fructis Hair Fillers Strength Repair Shampoo now introduces sulfate-free Hair Filler + Vitamin Cg system, formulated with Vitamin Cg + Citric Acid + Repair Care Complex, fills weak, damaged hair with strength.","Vegan, Clean Ingredients, Cruelty Free","Garnier Frutis sulfate-free Hair Filler Vitamin Cg shampoo for weak, damaged hair with Vitamin Cg, Citric Acid, Repair Care Complex, fill hair with strength 7 layers deep for inner fiber repair, outer visible transformation, Up to 79 percent stronger hair with up to 4x less breakage with use of Inner Fiber Repair Treatment and Strength Repair Shampoo, Conditioner, and Serum vs. non-conditioning shampoo, Formulated without sulfates, parabens, silicones, phthalates, DMDM Hydantoin, and mineral oil "
U152,https://media.ulta.com/i/ulta/2302472?w=78&h=78&fmt=auto,"Not all moisture is the same! Deeply quench dry, damaged hair and help repair curls with Maui Moisture Heal & Hydrate + Shea Butter Shampoo. The ultra-nourishing formula helps hydrate hair leaving curls feeling soft and touchable with a healthy-looking glow.",Vegan,"Helps nourish curls leaving them feeling soft with a healthy-looking glow, Ideal for tight curls, the deeply hydrating shea butter formula is safe for color-treated hair, Suitable for daily use on hair that is normal to coarse in texture, Quench and repair dry, damaged curls, Sulfate-free surfactant haircare system is paraben-free, vegan & free of silicones & mineral oil, For best results, use with Heal & Hydrate + Shea Butter Conditioner and Hair Mask "
U154,https://media.ulta.com/i/ulta/2614437?w=78&h=78&fmt=auto,"Verb Bonding Shampoo helps to relink broken bonds while strengthening strands for smoother, shinier and visibly healthier hair. Powered by Verb's amino-bond complex, a marine botanical blend and mafura butter, this shampoo helps repair bonds.","Vegan, Cruelty Free","Helps to relink broken bonds, Strengthens strands, Seals split ends, Vegan, Cruelty-free, For all hair types "
U155,https://media.ulta.com/i/ulta/2577893?w=78&h=78&fmt=auto,"Detangle, de-frizz, nourish, hydrate, and protect curls from humidity, heat, and environmental damage with Virtue's silicone-and sulfate-free Curl Shampoo.","Vegan, Cruelty Free","Hydrates hair, Hair is strengthened, nourished, and more manageable For Hair Concerns: Brittle, dry hair with breakage, For Hair Types:, WAVY - Fine/Medium/Thick, CURLY - Fine/Medium/Thick, COILS - Fine/Medium/Thick, COARSE"
U157,https://media.ulta.com/i/ulta/2270746?w=78&h=78&fmt=auto,"Replenish hair with Paul Mitchell Tea Tree Lavender Mint Moisturizing Shampoo. This daily, hydrating shampoo cleans and renews dry hair.","Cruelty Free, Sustainable Packaging Brand, Give Back","NOTE: Paul Mitchell's packaging is getting a makeover and the product you receive may vary from the images that are shown, Cleanses, soothes + replenishes dry hair, Moisture-rich conditioners + amino acids improve strength, shine + manageability, Ideal for coarse + dry hair types Lavender, mint and tea tree provide an aromatherapy-inspired experience, Clear post-consumer recycled (PCR) packaging (bottles + jars made from 100% PCR; tubes made from 25%; excludes pumps, caps + closures) features a label that does not need to be removed prior to recycling as part of Paul Mitchell’s long-standing commitment to the environment, Shampoo bottle has a raised S differentiator to increase accessibility, Color safe, Paraben free, Gluten free"
U158,https://media.ulta.com/i/ulta/2283709?w=78&h=78&fmt=auto,"OGX Quenching + Coconut Curls Shampoo. Boost your curls with this nourishing curl-enhancing shampoo. Blended with coconut oil, the curly hair shampoo detangles, defines & hydrates waves & spirals, leaving hair looking smooth & bouncy.",,"Designed to help enhance natural softness, curl-defining shampoo quenches & hydrates your spirals, Pleasant coconut milk, tangerine, & warm vanilla scent leaves tresses smelling irresistibly good, The sulfate-free surfactant haircare system is paraben-free, gentle & leaves hair feeling nourished, Curl-enhancing shampoo helps detangle & define curls for tumbling waves full of bounce & shine, Boost your curls & leave them smooth & bouncy, For a full quenching curly hair care routine, pair with OGX Coconut Curls Conditioner "
U159,https://media.ulta.com/i/ulta/2600782?w=78&h=78&fmt=auto,"Turn broken into bonded with Fekkai Super Strength+ Shampoo! This hair strengthening shampoo is sulfate-free and delivers triple action: bonding, repair and protection for hair that is 3x stronger.*","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand","Transformation is amplified by proprietary Powerbond technology, scientifically proven to penetrate hair fibers and repair the three key hair bonds., Fekkai's strengthening shampoo is designed to reinforce and repair breakage-prone hair., As a hair bonding shampoo, it repairs damage resulting from chemical treatments, heat styling or environmental aggressors., Suitable for color-treated, bleached, and keratin-treated hair., Formulated with scalp-friendly pH levels 5.5 - 6.5. "
U160,https://media.ulta.com/i/ulta/2047417?w=78&h=78&fmt=auto,"Keep hair from turning ""chlorine green"" with Shampoo Three from Paul Mitchell. This clarifying shampoo removes chlorine, minerals and buildup.","Vegan, Cruelty Free, Sustainable Packaging Brand, Give Back","Ideal for swimmers to prevent ""chlorine green"", Washes away dulling buildup + minimizes future buildup, Ideal for all hair types, Use before deep conditioning to remove buildup, which helps hair masks and treatments penetrate better Vibrant zesty pink grapefruit scent with energizing notes of Valencia orange and orange blossom, Paraben free"
U161,https://media.ulta.com/i/ulta/2614259?w=78&h=78&fmt=auto,"Lather in luxury with Travel Size Awapuhi Wild Ginger Nourishing Shampoo. This Paul Mitchell best-seller gently cleanses, protects and repairs damaged hair.","Cruelty Free, Sustainable Packaging Brand, Give Back","Ultra-rich lather, Thoroughly cleanses while protecting hair color, Helps rebuild + repair brittle strands, Ideal for dry, damaged + color-treated hair Made from at least 25% PCR (post-consumer recycled) packaging (percentages may vary/excludes closures), Ginger tea scent, Color safe, Sulfate free (without SLS, SLES, ALS), Paraben free"
U163,https://media.ulta.com/i/ulta/2598753?w=78&h=78&fmt=auto,"Strength Recovery Shampoo infused with vegan squalane is a gentle cleansing shampoo for damaged hair that helps reduce breakage and leaves hair softer and smoother. Love Advanced Keratindose or Advanced Fiberstrong? Meet Strength Recovery, formulated with vegan squalane for ultimate damage repair.","Vegan, Cruelty Free, Sustainable Packaging Brand","Helps reduce breakage in damaged hair, Leaves hair softer and smoother, Rich lather helps wash impurities and build up away while preserving hairs integrity, Suitable for color-treated hair. "
U164,https://media.ulta.com/i/ulta/2047418?w=78&h=78&fmt=auto,Enjoy the lush lather and moisturizing goodness of Paul Mitchell Awapuhi Shampoo. Gentle yet thorough cleansing makes it great for daily use.,"Vegan, Cruelty Free, Sustainable Packaging Brand, Give Back","Brightens hair by removing dulling buildup, Hawaiian awapuhi helps prevent moisture loss, Special conditioners help improve hair texture and add volume, Multitasks as a luxurious body wash, Ideal for all hair types, especially fine + static-prone hair Refreshing cucumber melon scent with soft floral notes, Color safe, Paraben free, Gluten free"
U165,https://media.ulta.com/i/ulta/2600778?w=78&h=78&fmt=auto,"Fekkai Blonde Rx Purple Toning Shampoo is a non-stripping purple toning shampoo that fights brass with ultra-violet pigments & charcoal powder, while superfood botanicals moisturize & repair.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand","Ideal for color treated blondes to fight yellowing, brass and breakage., Smells like breezy citrus with crisp naturally fresh water and warm woods., Safe for all hair types and chemically treated hair., Clean, Vegan, Sustainable, Cruelty-free., 3x stronger hair & 67% less breakage *(when used as a collection shampoo, mask & brightening concentrate). "
U166,https://media.ulta.com/i/ulta/2581057?w=78&h=78&fmt=auto,"Bumble and bumble Sunday Clarifying Shampoo is a weekly shampoo that lifts away product residue, excess oil, and built-up pollutants - those impurities that can give hair that end-of-week dullness and weigh down your look.","Cruelty Free, Sustainable Packaging Brand","Addresses scalp care, Deeply cleanses hair, Removes unwanted oil, Absorbs oil "
U167,https://media.ulta.com/i/ulta/2149482?w=78&h=78&fmt=auto,Hydrate & restore hair with OGX Nourishing + Coconut Milk Shampoo.,,"OGX Nourishing + Coconut Milk Moisturizing Shampoo to hydrate & restore dry, damaged hair, The hair wash with an intensely moisturizing formula delivers immediate softness after the first use, New formula protects hair from excessive loss of lipids & proteins which creates frizz & breakage, New LipiPro Shield (TM) Technology delivers 2x more protein & lipid protection** for healthy hair, **vs. non-conditioning shampoo, with continuous use, Moisturizing shampoo supports hair's protein & lipid barrier for your heathiest hair, Use this coconut & white peach scented shampoo with OGX Conditioner for your hair routine "
U168,https://media.ulta.com/i/ulta/2609999?w=78&h=78&fmt=auto,"Carol's Daughter Born To Repair Sulfate-Free Nourishing Shampoo, blended sustainably-sourced Shea Butter, Amazonian Nut Oil and Babassu Oil, deeply cleans hair without stripping.","Vegan, Clean Ingredients, Cruelty Free, Give Back","Carol's Daughter Born To Repair Sulfate-Free Nourishing Shampoo, blended sustainably-sourced Shea Butter, Amazonian Nut Oil and Babassu Oil, deeply cleans hair without stripping, This collection is a line of clean and color-caring formulas that help repair the strength and improve smoothness of curls and coils while caring for them, so every curl type and hair texture can flourish from wash to style, Repairs damage, Strengthens, Smooths, Biodegradable Naturally-Derived, Vegan Blended with Shea Butter, Babassu Oil and Amazonian Nut Oil"
U169,https://media.ulta.com/i/ulta/2516134?w=78&h=78&fmt=auto,"Bumble and bumble Hairdresser's Invisible Oil Shampoo is a frizz reducing, hydrating shampoo that instantly transforms dry hair - leaving it soft and smooth without the weight. Plus, it detangles to help protect against breakage.","Cruelty Free, Sustainable Packaging Brand","Hydrates, Reduces Frizz, Shine, Softens, Oil-infused, Detangles, Color-safe, Free of sulfate cleansers, Luxurious blend of six featherlight oils, For Medium to Thick, Straight to Curly Hair, For Untreated, Dry, or hair damaged from Heat, Chemical, or Physical styling, Ideal for hair types seeking hydration and frizz reduction. "
U170,https://media.ulta.com/i/ulta/2617823?w=78&h=78&fmt=auto,"Help heal & quench dry, damaged curls with this reviving shea butter shampoo. The hydrating shampoo for curly & coily hair is infused with the scents of fresh citrus, melon & shea butter & contains coconut & macadamia oils to soften curls for healthy-looking hair.",Vegan,This hydrating formula is safe for color-treated hair & suitable for daily use on curls with balanced to coarse texture 
U171,https://media.ulta.com/i/ulta/2302490?w=78&h=78&fmt=auto,"Repair and revive your senses and your hair with OGX Extra Strength Damage Repair + Coconut Miracle Oil Shampoo. Ideal for dry, coarse or frizzy hair, the hydrating shampoo helps tame flyaways as it bring out natural smoothness.",,"Ideal for dry or frizzy hair, helps tame flyaways & brings out shine, Pleasant coconut milk, tangerine, & warm vanilla scent leaves tresses smelling irresistibly good, The sulfate-free surfactant haircare system is paraben-free, gentle & leaves hair feeling nourished, helps transform thick, coarse hair into silky perfection, leaving smooth strands, For a full repairing frizzy hair care routine, pair with OGX Coconut Miracle Oil Conditioner "
U172,https://media.ulta.com/i/ulta/2592978?w=78&h=78&fmt=auto,"Living Proof's Restore Shampoo kicks damage to the curb while gently cleansing and reversing damage, making hair look and feel healthier.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Removes dirt, sweat, oil, pollution, and product buildup, Luxe lather gently yet effectively cleanses without stripping or over drying strands, Leaves hair softer, smoother, and with healthier movement, Protects hair against environmental damage, color fade, and breakage while repairing damage from everyday stressors, Keeps hair cleaner, longer, Best for colored, chemically treated, weakened, or damaged hair, Cruelty-free. Vegan. Color safe. Safe for chemically treated hair., What's New: Now prevents 70% of damage*, reinforces hair strength with new emollient ingredients, and repairs and protects from all sources of damage. Now has even more strengthening and reparative benefits to leave hair 4x stronger*, *After 1 use of Restore Shampoo + Conditioner v. untreated "
U173,https://media.ulta.com/i/ulta/2579282?w=78&h=78&fmt=auto,"Bumble and bumble Curl Moisturizing Shampoo is a curl-loving gentle shampoo, enhanced with a rich blend of oils and butters, that detangles, reduces frizz, and leaves hair shiny.","Cruelty Free, Sustainable Packaging Brand","Oil-infused, Reduces Frizz, Moisturizes, Shine, Detangles, Gentle, Color-safe, Gluten Free, All Curl Patterns: Coily (4C-4A), Curly (3C-3A), Wavy (2C-2A), All Diameters: Fine, Medium, Thick, All Conditions: Untreated, Color-Treated, Dry, or hair damaged from Heat, Chemical, or Physical styling, Ideal for all hair types and curl patterns seeking moisture and reduced frizz, 2021 Glamour Beauty Award Winner "
U174,https://media.ulta.com/i/ulta/2612124?w=78&h=78&fmt=auto,"Bumble and bumble Sunday Purifying Clay Detox Shampoo is a color-safe shampoo + clay mask hybrid that washes away build-up that can collect at the root or weigh hair down. Formulated with Kaolin and Bentonite clays plus Lactic Acid, it preps strands for the week of great style to come.","Cruelty Free, Sustainable Packaging Brand","Scalp care, Deep cleansing, Absorbs oils, Color-safe, No sulfate cleansers "
U175,https://media.ulta.com/i/ulta/2620117?w=78&h=78&fmt=auto,"Garnier Fructis Hair Fillers Color Treated Shampoo now introduces sulfate-free Hair Filler + Ceramide system, formulated with Ceramide + Citric Acid + Repair Care Complex, fills hair with color vibrancy.","Vegan, Clean Ingredients, Cruelty Free","Garnier Frutis sulfate-free Hair Filler Ceramide shampoo, formulated with Ceramide, Citric Acid, Repair Care Complex, fills hair with color vibrancy for colored, bleached hair, Reverse up to 1 year of damage for smoothness and get up to 9X smoother hair and 4 weeks vibrant color with use of Inner Fiber Repair Treatment and Color Repair Shampoo, Conditioner, and Serum vs. non-conditioning shampoo, Formulated without sulfates, parabens, silicones, phthalates, DMDM Hydantoin, and mineral oil "
U176,https://media.ulta.com/i/ulta/2565137?w=78&h=78&fmt=auto,"Pureology's Strength Cure Blonde Purple Shampoo is a rich-lather, sulfate-free purple shampoo that tones and fortifies brassy, damaged and lightened hair.","Vegan, Sustainable Packaging Brand","Tones and neutralizes brassiness, Strengthens and fortifies lightened or blonde hair, Provides extraordinary color protection, Contains less than 1% of synthetic fragrances, This product is 100% vegan, Recyclable packaging, TSA approved "
U178,https://media.ulta.com/i/ulta/2607871?w=78&h=78&fmt=auto,"Ouidad's Unbreakable Bonds Bond Building Shampoo is a gentle, dermatologist tested shampoo that works to improve the look of hair health and repair damage. It's fragrance-free and hypoallergenic to cleanse even the most sensitive of scalps.","Cruelty Free, Sustainable Packaging Brand","Sulfate-free shampoo infused with bond building technology that gently cleanses, strengthens, and hydrates curls, Fragrance-free formula is great for sensitive scalps, Dermatologist tested and hypoallergenic, Low pH helps keep curls hydrated and prevents natural oils from being stripped, Infused with hyaluronic acid, ceramides, and collagen "
U179,https://media.ulta.com/i/ulta/2047415?w=78&h=78&fmt=auto,"An everyday essential. Shampoo One from Paul Mitchell provides gentle but thorough cleansing, making it perfect for daily use.","Vegan, Cruelty Free, Sustainable Packaging Brand, Give Back","Leaves hair clean + healthy-looking, Panthenol and wheat-derived conditioners help improve hair's surface texture + manageability, Ideal for all hair types Creamy tropical coconut scent with a hint of crushed pineapple, Color safe, Paraben free"
U180,https://media.ulta.com/i/ulta/2565110?w=78&h=78&fmt=auto,"Pureology's Nanoworks Gold Shampoo is a rich, transformative sulfate-free shampoo that renews softness, manageability, and shine to cleanse dull, coarse, brittle, or very dry color-treated hair.","Vegan, Sustainable Packaging Brand","Strengthens hair, Renews softness, manageability, and shine, Provides extraordinary color protection, Contains less than 1% of synthetic fragrances, This product is 100% vegan, Recyclable packaging, TSA approved "
U181,https://media.ulta.com/i/ulta/2620733?w=78&h=78&fmt=auto,"Melanin Haircare's African Black Soap Reviving Shampoo, mineral-rich, natural and clarifying works to promote hair growth and a beautiful, healthy sheen!","Clean Ingredients, Cruelty Free, Sustainable Packaging Brand","Natural, clarifying shampoo with an instant lather, helps to soothe and calm the scalp, Infused with mineral-rich, nourishing, and anti-inflammatory oils and butters, Promotes increased elasticity and flexibility, Good for all hair types, Unisex shampoo, Non-toxic "
U182,https://media.ulta.com/i/ulta/2603761?w=78&h=78&fmt=auto,"Curlsmith Essential Moisture Cleanser is a gentle moisturizing shampoo that gently cleanses hair, designed for all curl types, even straight hair.","Vegan, Cruelty Free, Sustainable Packaging Brand","Gently cleanses to remove dirt and product build-up, Increases moisturization by 87* when used with Essential Moisture Conditioner, Foaming action cleanses the hair without stripping natural oils, Suitable for frequent washes, Safe for color treated hair, Designed for all curls and texture types "
U183,https://media.ulta.com/i/ulta/2620074?w=78&h=78&fmt=auto,"DevaCurl's CURLHEIGHTS Volume + Body Boost Cleanser with Volume Complex increases volume 2X to roots and reduces frizz by 83% up to 8hrs*, while leaving curls feeling moisturized.","Vegan, Cruelty Free, Sustainable Packaging Brand","Increases Volume 2X to roots* when used as a collection, Maintains moisture + non-drying, Maintains shine + curls do not feel weighed down "
